forecast_time,predicted_power,start_time
2023/2/21 0:00,0.881634941,2023/2/21
2023/2/21 0:15,1.188787842,2023/2/21
2023/2/21 0:30,1.003376557,2023/2/21
2023/2/21 0:45,1.26729425,2023/2/21
2023/2/21 1:00,1.47530374,2023/2/21
2023/2/21 1:15,1.133857478,2023/2/21
2023/2/21 1:30,1.795884086,2023/2/21
2023/2/21 1:45,1.737515207,2023/2/21
2023/2/21 2:00,1.658019789,2023/2/21
2023/2/21 2:15,2.160130321,2023/2/21
2023/2/21 2:30,2.030876282,2023/2/21
2023/2/21 2:45,2.093187839,2023/2/21
2023/2/21 3:00,2.130481248,2023/2/21
2023/2/21 3:15,2.815580553,2023/2/21
2023/2/21 3:30,2.335192826,2023/2/21
2023/2/21 3:45,2.935119487,2023/2/21
2023/2/21 4:00,3.401202866,2023/2/21
2023/2/21 4:15,2.563464424,2023/2/21
2023/2/21 4:30,3.458640048,2023/2/21
2023/2/21 4:45,2.651795317,2023/2/21
2023/2/21 5:00,2.209968862,2023/2/21
2023/2/21 5:15,2.078168068,2023/2/21
2023/2/21 5:30,3.395765179,2023/2/21
2023/2/21 5:45,2.202886091,2023/2/21
2023/2/21 6:00,1.566637576,2023/2/21
2023/2/21 6:15,1.925219433,2023/2/21
2023/2/21 6:30,2.904487161,2023/2/21
2023/2/21 6:45,2.824321374,2023/2/21
2023/2/21 7:00,1.863095043,2023/2/21
2023/2/21 7:15,1.954191482,2023/2/21
2023/2/21 7:30,1.76543605,2023/2/21
2023/2/21 7:45,1.991624969,2023/2/21
2023/2/21 8:00,0.978729934,2023/2/21
2023/2/21 8:15,0.978702762,2023/2/21
2023/2/21 8:30,0.83699727,2023/2/21
2023/2/21 8:45,0.992826386,2023/2/21
2023/2/21 9:00,0.276983684,2023/2/21
2023/2/21 9:15,0.416493021,2023/2/21
2023/2/21 9:30,0.303536338,2023/2/21
2023/2/21 9:45,0.256755189,2023/2/21
2023/2/21 10:00,0.06590181,2023/2/21
2023/2/21 10:15,0.004332524,2023/2/21
2023/2/21 10:30,0,2023/2/21
2023/2/21 10:45,0.008699938,2023/2/21
2023/2/21 11:00,0,2023/2/21
2023/2/21 11:15,0,2023/2/21
2023/2/21 11:30,0,2023/2/21
2023/2/21 11:45,0,2023/2/21
2023/2/21 12:00,0,2023/2/21
2023/2/21 12:15,0,2023/2/21
2023/2/21 12:30,0,2023/2/21
2023/2/21 12:45,0,2023/2/21
2023/2/21 13:00,0,2023/2/21
2023/2/21 13:15,0,2023/2/21
2023/2/21 13:30,0,2023/2/21
2023/2/21 13:45,0,2023/2/21
2023/2/21 14:00,0,2023/2/21
2023/2/21 14:15,0,2023/2/21
2023/2/21 14:30,0,2023/2/21
2023/2/21 14:45,0,2023/2/21
2023/2/21 15:00,0,2023/2/21
2023/2/21 15:15,0,2023/2/21
2023/2/21 15:30,0,2023/2/21
2023/2/21 15:45,0,2023/2/21
2023/2/21 16:00,0,2023/2/21
2023/2/21 16:15,0,2023/2/21
2023/2/21 16:30,0,2023/2/21
2023/2/21 16:45,0,2023/2/21
2023/2/21 17:00,0,2023/2/21
2023/2/21 17:15,0,2023/2/21
2023/2/21 17:30,0,2023/2/21
2023/2/21 17:45,0,2023/2/21
2023/2/21 18:00,0,2023/2/21
2023/2/21 18:15,0,2023/2/21
2023/2/21 18:30,0,2023/2/21
2023/2/21 18:45,0,2023/2/21
2023/2/21 19:00,0,2023/2/21
2023/2/21 19:15,0,2023/2/21
2023/2/21 19:30,0,2023/2/21
2023/2/21 19:45,0,2023/2/21
2023/2/21 20:00,0,2023/2/21
2023/2/21 20:15,0,2023/2/21
2023/2/21 20:30,0,2023/2/21
2023/2/21 20:45,0,2023/2/21
2023/2/21 21:00,0,2023/2/21
2023/2/21 21:15,0,2023/2/21
2023/2/21 21:30,0,2023/2/21
2023/2/21 21:45,0,2023/2/21
2023/2/21 22:00,0.00559377,2023/2/21
2023/2/21 22:15,0.019179406,2023/2/21
2023/2/21 22:30,0,2023/2/21
2023/2/21 22:45,0.016592203,2023/2/21
2023/2/21 23:00,0.453751276,2023/2/21
2023/2/21 23:15,0.477650501,2023/2/21
2023/2/21 23:30,0.418132172,2023/2/21
2023/2/21 23:45,0.352486235,2023/2/21
2023/2/22 0:00,1.116162166,2023/2/21
2023/2/22 0:15,1.068386625,2023/2/21
2023/2/22 0:30,1.284572475,2023/2/21
2023/2/22 0:45,1.115572946,2023/2/21
2023/2/22 1:00,1.371684494,2023/2/21
2023/2/22 1:15,1.695388479,2023/2/21
2023/2/22 1:30,1.754801397,2023/2/21
2023/2/22 1:45,1.591452744,2023/2/21
2023/2/22 2:00,2.612643252,2023/2/21
2023/2/22 2:15,1.923021994,2023/2/21
2023/2/22 2:30,2.050921365,2023/2/21
2023/2/22 2:45,2.683675952,2023/2/21
2023/2/22 3:00,2.698332746,2023/2/21
2023/2/22 3:15,2.214505752,2023/2/21
2023/2/22 3:30,2.57600051,2023/2/21
2023/2/22 3:45,3.366470016,2023/2/21
2023/2/22 4:00,2.317923558,2023/2/21
2023/2/22 4:15,3.215687441,2023/2/21
2023/2/22 4:30,3.09396486,2023/2/21
2023/2/22 4:45,2.600354647,2023/2/21
2023/2/22 5:00,2.915418843,2023/2/21
2023/2/22 5:15,2.102091097,2023/2/21
2023/2/22 5:30,1.883278971,2023/2/21
2023/2/22 5:45,2.468021528,2023/2/21
2023/2/22 6:00,1.997651267,2023/2/21
2023/2/22 6:15,1.692565622,2023/2/21
2023/2/22 6:30,2.26246652,2023/2/21
2023/2/22 6:45,1.863989486,2023/2/21
2023/2/22 7:00,1.152964986,2023/2/21
2023/2/22 7:15,1.756069283,2023/2/21
2023/2/22 7:30,1.543350861,2023/2/21
2023/2/22 7:45,1.628887677,2023/2/21
2023/2/22 8:00,1.038452133,2023/2/21
2023/2/22 8:15,1.171496064,2023/2/21
2023/2/22 8:30,0.793239326,2023/2/21
2023/2/22 8:45,0.989016304,2023/2/21
2023/2/22 9:00,0.329036631,2023/2/21
2023/2/22 9:15,0.420884887,2023/2/21
2023/2/22 9:30,0.409355654,2023/2/21
2023/2/22 9:45,0.347919277,2023/2/21
2023/2/22 10:00,0.035350159,2023/2/21
2023/2/22 10:15,0.005956744,2023/2/21
2023/2/22 10:30,0.012791789,2023/2/21
2023/2/22 10:45,0.022455416,2023/2/21
2023/2/22 11:00,0,2023/2/21
2023/2/22 11:15,0,2023/2/21
2023/2/22 11:30,0,2023/2/21
2023/2/22 11:45,0,2023/2/21
2023/2/22 12:00,0,2023/2/21
2023/2/22 12:15,0,2023/2/21
2023/2/22 12:30,0,2023/2/21
2023/2/22 12:45,0,2023/2/21
2023/2/22 13:00,0,2023/2/21
2023/2/22 13:15,0,2023/2/21
2023/2/22 13:30,0,2023/2/21
2023/2/22 13:45,0,2023/2/21
2023/2/22 14:00,0,2023/2/21
2023/2/22 14:15,0,2023/2/21
2023/2/22 14:30,0,2023/2/21
2023/2/22 14:45,0,2023/2/21
2023/2/22 15:00,0,2023/2/21
2023/2/22 15:15,0,2023/2/21
2023/2/22 15:30,0,2023/2/21
2023/2/22 15:45,0,2023/2/21
2023/2/22 16:00,0,2023/2/21
2023/2/22 16:15,0,2023/2/21
2023/2/22 16:30,0,2023/2/21
2023/2/22 16:45,0,2023/2/21
2023/2/22 17:00,0,2023/2/21
2023/2/22 17:15,0,2023/2/21
2023/2/22 17:30,0,2023/2/21
2023/2/22 17:45,0,2023/2/21
2023/2/22 18:00,0,2023/2/21
2023/2/22 18:15,0,2023/2/21
2023/2/22 18:30,0,2023/2/21
2023/2/22 18:45,0,2023/2/21
2023/2/22 19:00,0,2023/2/21
2023/2/22 19:15,0,2023/2/21
2023/2/22 19:30,0,2023/2/21
2023/2/22 19:45,0,2023/2/21
2023/2/22 20:00,0,2023/2/21
2023/2/22 20:15,0,2023/2/21
2023/2/22 20:30,0,2023/2/21
2023/2/22 20:45,0,2023/2/21
2023/2/22 21:00,0,2023/2/21
2023/2/22 21:15,0,2023/2/21
2023/2/22 21:30,0,2023/2/21
2023/2/22 21:45,0,2023/2/21
2023/2/22 22:00,0.000211372,2023/2/21
2023/2/22 22:15,0,2023/2/21
2023/2/22 22:30,0,2023/2/21
2023/2/22 22:45,0.015089906,2023/2/21
2023/2/22 23:00,0.387281743,2023/2/21
2023/2/22 23:15,0.321279469,2023/2/21
2023/2/22 23:30,0.476548534,2023/2/21
2023/2/22 23:45,0.362172524,2023/2/21
2023/2/23 0:00,1.007896716,2023/2/21
2023/2/23 0:15,1.020363786,2023/2/21
2023/2/23 0:30,1.09487612,2023/2/21
2023/2/23 0:45,0.898531482,2023/2/21
2023/2/23 1:00,1.384926942,2023/2/21
2023/2/23 1:15,1.796570375,2023/2/21
2023/2/23 1:30,1.939056936,2023/2/21
2023/2/23 1:45,1.61382164,2023/2/21
2023/2/23 2:00,2.085995493,2023/2/21
2023/2/23 2:15,2.485315102,2023/2/21
2023/2/23 2:30,2.265773107,2023/2/21
2023/2/23 2:45,2.784749228,2023/2/21
2023/2/23 3:00,2.505598975,2023/2/21
2023/2/23 3:15,2.321876541,2023/2/21
2023/2/23 3:30,3.251405747,2023/2/21
2023/2/23 3:45,3.451781829,2023/2/21
2023/2/23 4:00,2.149130276,2023/2/21
2023/2/23 4:15,2.696994666,2023/2/21
2023/2/23 4:30,3.193029924,2023/2/21
2023/2/23 4:45,1.955004221,2023/2/21
2023/2/23 5:00,2.59429807,2023/2/21
2023/2/23 5:15,3.275393061,2023/2/21
2023/2/23 5:30,2.00071422,2023/2/21
2023/2/23 5:45,2.571239921,2023/2/21
2023/2/23 6:00,1.992062726,2023/2/21
2023/2/23 6:15,2.178029763,2023/2/21
2023/2/23 6:30,2.851093703,2023/2/21
2023/2/23 6:45,2.460709171,2023/2/21
