起报时间,预报时间,实际功率 (MW),station05 预测功率 (MW)
2023/02/21/00:00,2023/02/21/00:00,0,10.54996954435324
2023/02/21/00:00,2023/02/21/00:15,0,3.0899208780822267
2023/02/21/00:00,2023/02/21/00:30,0,11.621699613003704
2023/02/21/00:00,2023/02/21/00:45,0,3.185806375817855
2023/02/21/00:00,2023/02/21/01:00,0,17.000989856095696
2023/02/21/00:00,2023/02/21/01:15,0,17.01385845624406
2023/02/21/00:00,2023/02/21/01:30,0,14.167422006502251
2023/02/21/00:00,2023/02/21/01:45,0,11.417778824180076
2023/02/21/00:00,2023/02/21/02:00,0,16.423072870881366
2023/02/21/00:00,2023/02/21/02:15,0,22.43064296072744
2023/02/21/00:00,2023/02/21/02:30,0,20.14602970226133
2023/02/21/00:00,2023/02/21/02:45,0,21.273965641481144
2023/02/21/00:00,2023/02/21/03:00,0,26.41294634487281
2023/02/21/00:00,2023/02/21/03:15,0,21.80422736864978
2023/02/21/00:00,2023/02/21/03:30,0,25.050398083076523
2023/02/21/00:00,2023/02/21/03:45,0,20.87269513502816
2023/02/21/00:00,2023/02/21/04:00,0,18.69274540225092
2023/02/21/00:00,2023/02/21/04:15,0,22.711890139373324
2023/02/21/00:00,2023/02/21/04:30,0,20.52364596909203
2023/02/21/00:00,2023/02/21/04:45,0,22.462491900426183
2023/02/21/00:00,2023/02/21/05:00,0,21.51045086125673
2023/02/21/00:00,2023/02/21/05:15,0,26.65092161281957
2023/02/21/00:00,2023/02/21/05:30,0,17.304904973434926
2023/02/21/00:00,2023/02/21/05:45,0,23.771260453697074
2023/02/21/00:00,2023/02/21/06:00,0,18.49880530743591
2023/02/21/00:00,2023/02/21/06:15,0,19.295606715744672
2023/02/21/00:00,2023/02/21/06:30,0,22.381313188305217
2023/02/21/00:00,2023/02/21/06:45,0,19.29840403885785
2023/02/21/00:00,2023/02/21/07:00,0,11.077920645459358
2023/02/21/00:00,2023/02/21/07:15,0,11.49325127474492
2023/02/21/00:00,2023/02/21/07:30,0,14.433547126189731
2023/02/21/00:00,2023/02/21/07:45,0,16.744809073286476
2023/02/21/00:00,2023/02/21/08:00,0,3.803840872371054
2023/02/21/00:00,2023/02/21/08:15,0,10.14396878161841
2023/02/21/00:00,2023/02/21/08:30,0,3.100905402744798
2023/02/21/00:00,2023/02/21/08:45,0,11.387341736080517
2023/02/21/00:00,2023/02/21/09:00,0,3.644605199386256
2023/02/21/00:00,2023/02/21/09:15,0,3.5349691017397222
2023/02/21/00:00,2023/02/21/09:30,0,3.5634895641312894
