起报时间,预报时间,实际功率(MW),XGBoost 预测功率(MW),误差
2019/06/06/00:00,2019/06/06/16:00,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/16:15,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/16:30,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/16:45,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/17:00,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/17:15,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/17:30,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/17:45,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/18:00,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/18:15,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/18:30,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/18:45,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/19:00,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/19:15,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/19:30,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/19:45,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/20:00,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/20:15,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/20:30,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/20:45,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/21:00,0.0,0.0,0.0
2019/06/06/00:00,2019/06/06/21:15,0.0593879999999999,0.0,-0.0593879999999999
2019/06/06/00:00,2019/06/06/21:30,0.223004,0.0,-0.223004
2019/06/06/00:00,2019/06/06/21:45,0.414391,0.0,-0.414391
2019/06/06/00:00,2019/06/06/22:00,0.658412,0.6403322509908135,-0.0180797490091865
2019/06/06/00:00,2019/06/06/22:15,0.975329,0.922115988665942,-0.0532130113340578
2019/06/06/00:00,2019/06/06/22:30,1.139378,1.3043867799317568,0.1650087799317567
